Customer_ID,Customer_Name,Gender,Age,City,State,Email
1,Customer_1,Male,19,Bengaluru,Delhi,customer1@mail.com
2,Customer_2,Male,26,Delhi,Tamil Nadu,customer2@mail.com
3,Customer_3,Male,55,Chennai,Rajasthan,customer3@mail.com
4,Customer_4,Male,23,Pune,Delhi,customer4@mail.com
5,Customer_5,Male,53,Pune,Tamil Nadu,customer5@mail.com
6,Customer_6,Female,32,Kolkata,Telangana,customer6@mail.com
7,Customer_7,Female,69,Jaipur,West Bengal,customer7@mail.com
8,Customer_8,Male,62,Chennai,Maharashtra,customer8@mail.com
9,Customer_9,Female,27,Pune,West Bengal,customer9@mail.com
10,Customer_10,Female,24,Delhi,Karnataka,customer10@mail.com
11,Customer_11,Male,40,Hyderabad,Telangana,customer11@mail.com
12,Customer_12,Female,69,Jaipur,Tamil Nadu,customer12@mail.com
13,Customer_13,Female,52,Delhi,Karnataka,customer13@mail.com
14,Customer_14,Male,53,Bengaluru,West Bengal,customer14@mail.com
15,Customer_15,Female,54,Pune,Tamil Nadu,customer15@mail.com
16,Customer_16,Male,20,Pune,West Bengal,customer16@mail.com
17,Customer_17,Female,23,Pune,West Bengal,customer17@mail.com
18,Customer_18,Male,42,Bengaluru,Karnataka,customer18@mail.com
19,Customer_19,Female,28,Hyderabad,Maharashtra,customer19@mail.com
20,Customer_20,Male,60,Bengaluru,Tamil Nadu,customer20@mail.com
21,Customer_21,Male,56,Mumbai,Telangana,customer21@mail.com
22,Customer_22,Male,28,Kolkata,Karnataka,customer22@mail.com
23,Customer_23,Female,58,Pune,Tamil Nadu,customer23@mail.com
24,Customer_24,Female,67,Jaipur,Delhi,customer24@mail.com
25,Customer_25,Male,69,Hyderabad,Karnataka,customer25@mail.com
26,Customer_26,Female,22,Pune,Telangana,customer26@mail.com
27,Customer_27,Female,31,Kolkata,Karnataka,customer27@mail.com
28,Customer_28,Female,27,Bengaluru,Delhi,customer28@mail.com
29,Customer_29,Male,65,Bengaluru,Tamil Nadu,customer29@mail.com
30,Customer_30,Female,55,Chennai,Maharashtra,customer30@mail.com
31,Customer_31,Male,26,Kolkata,Rajasthan,customer31@mail.com
32,Customer_32,Male,25,Mumbai,Tamil Nadu,customer32@mail.com
33,Customer_33,Male,68,Chennai,Telangana,customer33@mail.com
34,Customer_34,Male,42,Chennai,Telangana,customer34@mail.com
35,Customer_35,Female,51,Bengaluru,Telangana,customer35@mail.com
36,Customer_36,Male,61,Delhi,Tamil Nadu,customer36@mail.com
37,Customer_37,Female,67,Hyderabad,Rajasthan,customer37@mail.com
38,Customer_38,Female,45,Mumbai,Karnataka,customer38@mail.com
39,Customer_39,Male,64,Bengaluru,Telangana,customer39@mail.com
40,Customer_40,Male,50,Delhi,West Bengal,customer40@mail.com
41,Customer_41,Female,58,Pune,Delhi,customer41@mail.com
42,Customer_42,Female,66,Mumbai,Telangana,customer42@mail.com
43,Customer_43,Male,56,Hyderabad,Karnataka,customer43@mail.com
44,Customer_44,Male,25,Hyderabad,West Bengal,customer44@mail.com
45,Customer_45,Female,33,Jaipur,Delhi,customer45@mail.com
46,Customer_46,Male,23,Kolkata,West Bengal,customer46@mail.com
47,Customer_47,Male,66,Mumbai,Delhi,customer47@mail.com
48,Customer_48,Female,53,Mumbai,Maharashtra,customer48@mail.com
49,Customer_49,Female,31,Pune,Tamil Nadu,customer49@mail.com
50,Customer_50,Female,43,Hyderabad,Karnataka,customer50@mail.com
51,Customer_51,Female,25,Pune,Delhi,
52,Customer_52,Male,39,Jaipur,Telangana,customer52@mail.com
53,Customer_53,Male,55,Pune,Rajasthan,customer53@mail.com
54,Customer_54,Male,63,Jaipur,Delhi,customer54@mail.com
55,Customer_55,Male,20,Hyderabad,Rajasthan,customer55@mail.com
56,Customer_56,Male,35,Kolkata,Delhi,customer56@mail.com
57,Customer_57,Male,64,Kolkata,Delhi,customer57@mail.com
58,Customer_58,Female,69,Chennai,Delhi,customer58@mail.com
59,Customer_59,Male,24,Chennai,Maharashtra,customer59@mail.com
60,Customer_60,Female,44,Kolkata,West Bengal,customer60@mail.com
61,Customer_61,Male,61,Delhi,Rajasthan,customer61@mail.com
62,Customer_62,Female,64,Hyderabad,West Bengal,customer62@mail.com
63,Customer_63,Male,33,Pune,Delhi,customer63@mail.com
64,Customer_64,Female,26,Chennai,Delhi,customer64@mail.com
65,Customer_65,Female,47,Pune,West Bengal,customer65@mail.com
66,Customer_66,Male,46,Delhi,Rajasthan,customer66@mail.com
67,Customer_67,Male,23,Pune,Delhi,customer67@mail.com
68,Customer_68,Female,49,Kolkata,Delhi,customer68@mail.com
69,Customer_69,Female,21,Mumbai,Karnataka,customer69@mail.com
70,Customer_70,Male,42,Bengaluru,West Bengal,customer70@mail.com
71,Customer_71,Female,36,Chennai,Tamil Nadu,customer71@mail.com
72,Customer_72,Female,27,Pune,Maharashtra,customer72@mail.com
73,Customer_73,Male,21,Jaipur,Tamil Nadu,customer73@mail.com
74,Customer_74,Female,21,Jaipur,Telangana,customer74@mail.com
75,Customer_75,Female,50,Mumbai,Rajasthan,customer75@mail.com
76,Customer_76,Male,29,Delhi,Telangana,customer76@mail.com
77,Customer_77,Male,61,Pune,Karnataka,customer77@mail.com
78,Customer_78,Male,54,Pune,Telangana,customer78@mail.com
79,Customer_79,Male,57,Delhi,Karnataka,customer79@mail.com
80,Customer_80,Female,34,Pune,Tamil Nadu,customer80@mail.com
81,Customer_81,Female,33,Bengaluru,Karnataka,customer81@mail.com
82,Customer_82,Male,60,Bengaluru,Karnataka,customer82@mail.com
83,Customer_83,Female,66,Delhi,Rajasthan,customer83@mail.com
84,Customer_84,Female,57,Delhi,Rajasthan,customer84@mail.com
85,Customer_85,Male,50,Bengaluru,Delhi,customer85@mail.com
86,Customer_86,Female,22,Pune,Maharashtra,customer86@mail.com
87,Customer_87,Female,28,Kolkata,West Bengal,customer87@mail.com
88,Customer_88,Female,57,Jaipur,Tamil Nadu,customer88@mail.com
89,Customer_89,Female,60,Delhi,Delhi,customer89@mail.com
90,Customer_90,Female,25,Delhi,Tamil Nadu,customer90@mail.com
91,Customer_91,Male,35,Bengaluru,Telangana,customer91@mail.com
92,Customer_92,Male,63,Hyderabad,Delhi,customer92@mail.com
93,Customer_93,Female,50,Kolkata,Maharashtra,customer93@mail.com
94,Customer_94,Male,23,Chennai,West Bengal,customer94@mail.com
95,Customer_95,Female,20,Jaipur,Maharashtra,customer95@mail.com
96,Customer_96,Male,58,Bengaluru,Delhi,customer96@mail.com
97,Customer_97,Female,53,Chennai,Telangana,customer97@mail.com
98,Customer_98,Male,25,Delhi,Tamil Nadu,customer98@mail.com
99,Customer_99,Male,52,Jaipur,West Bengal,customer99@mail.com
100,Customer_100,Female,55,Mumbai,Karnataka,customer100@mail.com
101,Customer_101,Male,20,Bengaluru,Maharashtra,customer101@mail.com
102,Customer_102,Male,40,Pune,Tamil Nadu,customer102@mail.com
103,Customer_103,Male,60,Delhi,Maharashtra,customer103@mail.com
104,Customer_104,Female,57,Mumbai,Delhi,customer104@mail.com
105,Customer_105,Male,69,Mumbai,Karnataka,customer105@mail.com
106,Customer_106,Male,29,Hyderabad,West Bengal,customer106@mail.com
107,Customer_107,Female,69,Pune,Maharashtra,customer107@mail.com
108,Customer_108,Male,68,Delhi,Karnataka,customer108@mail.com
109,Customer_109,Male,48,Pune,Delhi,customer109@mail.com
110,Customer_110,Female,40,Bengaluru,West Bengal,customer110@mail.com
111,Customer_111,Male,32,Jaipur,Tamil Nadu,customer111@mail.com
112,Customer_112,Male,43,Hyderabad,Maharashtra,customer112@mail.com
113,Customer_113,Male,67,Bengaluru,Maharashtra,customer113@mail.com
114,Customer_114,Female,61,Hyderabad,Rajasthan,customer114@mail.com
115,Customer_115,Male,34,Mumbai,Telangana,customer115@mail.com
116,Customer_116,Female,20,Delhi,Telangana,customer116@mail.com
117,Customer_117,Female,40,Hyderabad,Karnataka,customer117@mail.com
118,Customer_118,Male,42,Pune,Maharashtra,customer118@mail.com
119,Customer_119,Male,63,Chennai,Rajasthan,customer119@mail.com
120,Customer_120,Male,41,Chennai,Rajasthan,customer120@mail.com
